"Date (UTC)","Timestamp (UTC)","Democrat","Republican","Other"
"04-17-2024 00:00","1713312003","0.915","0.075","0.0105"
"05-17-2024 00:00","1715904003","0.915","0.065","0.011"
"06-16-2024 00:00","1718496004","0.925","0.065","0.0105"
"07-16-2024 00:00","1721088002","0.905","0.095","0.0085"
"08-15-2024 00:00","1723680002","0.9645","0.032","0.0085"
"09-14-2024 00:00","1726272002","0.9675","0.0295","0.003"
"10-05-2024 14:57","1728140222","0.9665","0.0295","0.003"
