"Date (UTC)","Timestamp (UTC)","Democrat","Republican","Other"
"04-17-2024 00:00","1713312003","0.915","0.075","0.0135"
"05-17-2024 00:00","1715904003","0.915","0.065","0.012"
"06-16-2024 00:00","1718496004","0.915","0.065","0.0125"
"07-16-2024 00:00","1721088002","0.945","0.056","0.006"
"08-15-2024 00:00","1723680002","0.975","0.0185","0.006"
"09-14-2024 00:00","1726272002","0.976","0.0165","0.0025"
"10-05-2024 14:37","1728139022","0.9815","0.0175","0.003"
