"Date (UTC)","Timestamp (UTC)","Democrat","Republican","Other"
"04-17-2024 00:00","1713312003","0.835","0.145","0.0105"
"05-17-2024 00:00","1715904003","0.825","0.175","0.0095"
"06-16-2024 00:00","1718496004","0.775","0.22","0.01"
"07-16-2024 00:00","1721088002","0.565","0.435","0.008"
"08-15-2024 00:00","1723680002","0.93","0.065","0.0045"
"09-14-2024 00:00","1726272002","0.925","0.075","0.0015"
"10-05-2024 14:13","1728137582","0.925","0.075","0.002"
