"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"04-17-2024 00:00","1713312003","0.905","0.065","0.0115"
"05-17-2024 00:00","1715904003","0.915","0.06","0.021"
"06-16-2024 00:00","1718496004","0.915","0.055","0.0205"
"07-16-2024 00:00","1721088002","0.945","0.026","0.0145"
"08-15-2024 00:00","1723680002","0.9685","0.015","0.016"
"09-14-2024 00:00","1726272002","0.9805","0.014","0.002"
"10-05-2024 14:31","1728138662","0.982","0.014","0.0025"
