"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"03-18-2024 00:00","1710720003","0.585","0.415","0.0055"
"04-17-2024 00:00","1713312003","0.575","0.405","0.009"
"05-17-2024 00:00","1715904003","0.625","0.355","0.0105"
"06-16-2024 00:00","1718496004","0.65","0.345","0.011"
"07-16-2024 00:00","1721088002","0.765","0.235","0.0065"
"08-15-2024 00:00","1723680002","0.535","0.465","0.0025"
"09-14-2024 00:00","1726272002","0.58","0.415","0.0015"
"10-05-2024 14:05","1728137102","0.625","0.375","0.002"
