"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"03-18-2024 00:00","1710720003","0.505","0.495","0.0055"
"04-17-2024 00:00","1713312003","0.41","0.575","0.0045"
"05-17-2024 00:00","1715904003","0.475","0.515","0.017"
"06-16-2024 00:00","1718496004","0.485","0.515","0.0105"
"07-16-2024 00:00","1721088002","0.61","0.335","0.0055"
"08-15-2024 00:00","1723680002","0.425","0.575","0.0035"
"09-14-2024 00:00","1726272002","0.505","0.495","0.0015"
"10-05-2024 14:21","1728138062","0.525","0.465","0.002"
