"Date (UTC)","Timestamp (UTC)","Republican","Democrat","Other"
"04-17-2024 00:00","1713312003","0.905","0.075","0.012"
"05-17-2024 00:00","1715904003","0.915","0.07","0.0115"
"06-16-2024 00:00","1718496004","0.915","0.065","0.0105"
"07-16-2024 00:00","1721088002","0.945","0.043","0.009"
"08-15-2024 00:00","1723680002","0.9655","0.03","0.0085"
"09-14-2024 00:00","1726272002","0.968","0.026","0.0065"
"10-05-2024 14:58","1728140282","0.976","0.021","0.004"
