"Date (UTC)","Timestamp (UTC)","Democrat","Republican","Other"
"03-18-2024 00:00","1710720003","0.505","0.485","0.0055"
"04-17-2024 00:00","1713312003","0.56","0.43","0.01"
"05-17-2024 00:00","1715904003","0.515","0.47","0.021"
"06-16-2024 00:00","1718496004","0.515","0.445","0.04"
"07-16-2024 00:00","1721088002","0.37","0.645","0.0135"
"08-15-2024 00:00","1723680002","0.665","0.335","0.0025"
"09-14-2024 00:00","1726272002","0.595","0.405","0.0015"
"10-05-2024 14:47","1728139622","0.535","0.465","0.0025"
